act_id,act_title,act_number,act_year,publication_date,is_repealed,repealed_by,total_sections,url,scraped_at,full_content_preview
1,"1The Districts Act, 1836",( ACT NO. XXI OF 1836 ),1836,,False,,0,http://bdlaws.minlaw.gov.bd/act-1.html,2025-08-01 10:19:58,"The Districts Act, 1836 Toggle navigation Home Laws of Bangladesh Chronological Index Alphabetical Index Law Search Related Links Contact Us/Feedback Old Website Help How to Search How to Print Glossary Roman Number Contact Us/Feedback বাংলা |English Regulation V of 1799 to Act No. I of 1872 Chronological Index Regulation V of 1799 to Act No. I of 1872 Act No. III of 1872 to Act No. II of 1882 Act No. IV of 1882 to Act No. III of 1898 Act No. V of 1898 to Act No. II of 1899 Act No. IV of 1899 to Act No. V of 1908 Act No. VI of 1908 to Act No. VI of 1913 Act No. II of 1914 to Act No. XXVI of 1925 Act No. XXXIX of 1925 to Act No. XIV of 1936 Act No. I of 1937 to Ordinance No. VII of 1941 Bengal Act No. IV of 1942 to E. B. Act No. XXVIII of 1951 Act No. II of 1951 to Act No. XXXVIII of 1957 E.P. Act No. XV of 1957 to Ordinance No. XXXV of 1961 Ordinance No. XLV of 1961 to E. P. Ordinance No. VIII of 1963 E. P. Act No. IX of 1964 to A. P. O. No. 3 of 1971 The Constitution of 1972 to P. O. ..."
2,"The Public Accountant's Default Act, 1850",( ACT NO. XII OF 1850 ),1850,,False,,0,http://bdlaws.minlaw.gov.bd/act-2.html,2025-08-01 10:20:00,"The Public Accountant's Default Act, 1850 Toggle navigation Home Laws of Bangladesh Chronological Index Alphabetical Index Law Search Related Links Contact Us/Feedback Old Website Help How to Search How to Print Glossary Roman Number Contact Us/Feedback বাংলা |English Regulation V of 1799 to Act No. I of 1872 Chronological Index Regulation V of 1799 to Act No. I of 1872 Act No. III of 1872 to Act No. II of 1882 Act No. IV of 1882 to Act No. III of 1898 Act No. V of 1898 to Act No. II of 1899 Act No. IV of 1899 to Act No. V of 1908 Act No. VI of 1908 to Act No. VI of 1913 Act No. II of 1914 to Act No. XXVI of 1925 Act No. XXXIX of 1925 to Act No. XIV of 1936 Act No. I of 1937 to Ordinance No. VII of 1941 Bengal Act No. IV of 1942 to E. B. Act No. XXVIII of 1951 Act No. II of 1951 to Act No. XXXVIII of 1957 E.P. Act No. XV of 1957 to Ordinance No. XXXV of 1961 Ordinance No. XLV of 1961 to E. P. Ordinance No. VIII of 1963 E. P. Act No. IX of 1964 to A. P. O. No. 3 of 1971 The Constitution..."
3,"The Judicial Officer's Protection Act, 1850",( ACT NO. XVIII OF 1850 ),1850,,False,,0,http://bdlaws.minlaw.gov.bd/act-3.html,2025-08-01 10:20:02,"The Judicial Officer's Protection Act, 1850 Toggle navigation Home Laws of Bangladesh Chronological Index Alphabetical Index Law Search Related Links Contact Us/Feedback Old Website Help How to Search How to Print Glossary Roman Number Contact Us/Feedback বাংলা |English Regulation V of 1799 to Act No. I of 1872 Chronological Index Regulation V of 1799 to Act No. I of 1872 Act No. III of 1872 to Act No. II of 1882 Act No. IV of 1882 to Act No. III of 1898 Act No. V of 1898 to Act No. II of 1899 Act No. IV of 1899 to Act No. V of 1908 Act No. VI of 1908 to Act No. VI of 1913 Act No. II of 1914 to Act No. XXVI of 1925 Act No. XXXIX of 1925 to Act No. XIV of 1936 Act No. I of 1937 to Ordinance No. VII of 1941 Bengal Act No. IV of 1942 to E. B. Act No. XXVIII of 1951 Act No. II of 1951 to Act No. XXXVIII of 1957 E.P. Act No. XV of 1957 to Ordinance No. XXXV of 1961 Ordinance No. XLV of 1961 to E. P. Ordinance No. VIII of 1963 E. P. Act No. IX of 1964 to A. P. O. No. 3 of 1971 The Constituti..."
4,"The Public Servants (Inquiries) Act, 1850",( ACT NO. XXXVII OF 1850 ),1850,,False,,0,http://bdlaws.minlaw.gov.bd/act-4.html,2025-08-01 10:20:04,"The Public Servants (Inquiries) Act, 1850 Toggle navigation Home Laws of Bangladesh Chronological Index Alphabetical Index Law Search Related Links Contact Us/Feedback Old Website Help How to Search How to Print Glossary Roman Number Contact Us/Feedback বাংলা |English Regulation V of 1799 to Act No. I of 1872 Chronological Index Regulation V of 1799 to Act No. I of 1872 Act No. III of 1872 to Act No. II of 1882 Act No. IV of 1882 to Act No. III of 1898 Act No. V of 1898 to Act No. II of 1899 Act No. IV of 1899 to Act No. V of 1908 Act No. VI of 1908 to Act No. VI of 1913 Act No. II of 1914 to Act No. XXVI of 1925 Act No. XXXIX of 1925 to Act No. XIV of 1936 Act No. I of 1937 to Ordinance No. VII of 1941 Bengal Act No. IV of 1942 to E. B. Act No. XXVIII of 1951 Act No. II of 1951 to Act No. XXXVIII of 1957 E.P. Act No. XV of 1957 to Ordinance No. XXXV of 1961 Ordinance No. XLV of 1961 to E. P. Ordinance No. VIII of 1963 E. P. Act No. IX of 1964 to A. P. O. No. 3 of 1971 The Constitution..."
5,"The Tolls Act, 1851",( ACT NO. VIII OF 1851 ),1851,,False,,0,http://bdlaws.minlaw.gov.bd/act-5.html,2025-08-01 10:20:06,"The Tolls Act, 1851 Toggle navigation Home Laws of Bangladesh Chronological Index Alphabetical Index Law Search Related Links Contact Us/Feedback Old Website Help How to Search How to Print Glossary Roman Number Contact Us/Feedback বাংলা |English Regulation V of 1799 to Act No. I of 1872 Chronological Index Regulation V of 1799 to Act No. I of 1872 Act No. III of 1872 to Act No. II of 1882 Act No. IV of 1882 to Act No. III of 1898 Act No. V of 1898 to Act No. II of 1899 Act No. IV of 1899 to Act No. V of 1908 Act No. VI of 1908 to Act No. VI of 1913 Act No. II of 1914 to Act No. XXVI of 1925 Act No. XXXIX of 1925 to Act No. XIV of 1936 Act No. I of 1937 to Ordinance No. VII of 1941 Bengal Act No. IV of 1942 to E. B. Act No. XXVIII of 1951 Act No. II of 1951 to Act No. XXXVIII of 1957 E.P. Act No. XV of 1957 to Ordinance No. XXXV of 1961 Ordinance No. XLV of 1961 to E. P. Ordinance No. VIII of 1963 E. P. Act No. IX of 1964 to A. P. O. No. 3 of 1971 The Constitution of 1972 to P. O. No. ..."
6,"The Legal Representative Suits Act, 1855",( ACT NO. XII OF 1855 ),1855,,False,,0,http://bdlaws.minlaw.gov.bd/act-6.html,2025-08-01 10:20:08,"The Legal Representative Suits Act, 1855 Toggle navigation Home Laws of Bangladesh Chronological Index Alphabetical Index Law Search Related Links Contact Us/Feedback Old Website Help How to Search How to Print Glossary Roman Number Contact Us/Feedback বাংলা |English Regulation V of 1799 to Act No. I of 1872 Chronological Index Regulation V of 1799 to Act No. I of 1872 Act No. III of 1872 to Act No. II of 1882 Act No. IV of 1882 to Act No. III of 1898 Act No. V of 1898 to Act No. II of 1899 Act No. IV of 1899 to Act No. V of 1908 Act No. VI of 1908 to Act No. VI of 1913 Act No. II of 1914 to Act No. XXVI of 1925 Act No. XXXIX of 1925 to Act No. XIV of 1936 Act No. I of 1937 to Ordinance No. VII of 1941 Bengal Act No. IV of 1942 to E. B. Act No. XXVIII of 1951 Act No. II of 1951 to Act No. XXXVIII of 1957 E.P. Act No. XV of 1957 to Ordinance No. XXXV of 1961 Ordinance No. XLV of 1961 to E. P. Ordinance No. VIII of 1963 E. P. Act No. IX of 1964 to A. P. O. No. 3 of 1971 The Constitution ..."
7,"The Fatal Accidents Act, 1855",( ACT NO. XIII OF 1855 ),1855,,False,,0,http://bdlaws.minlaw.gov.bd/act-7.html,2025-08-01 10:20:10,"The Fatal Accidents Act, 1855 Toggle navigation Home Laws of Bangladesh Chronological Index Alphabetical Index Law Search Related Links Contact Us/Feedback Old Website Help How to Search How to Print Glossary Roman Number Contact Us/Feedback বাংলা |English Regulation V of 1799 to Act No. I of 1872 Chronological Index Regulation V of 1799 to Act No. I of 1872 Act No. III of 1872 to Act No. II of 1882 Act No. IV of 1882 to Act No. III of 1898 Act No. V of 1898 to Act No. II of 1899 Act No. IV of 1899 to Act No. V of 1908 Act No. VI of 1908 to Act No. VI of 1913 Act No. II of 1914 to Act No. XXVI of 1925 Act No. XXXIX of 1925 to Act No. XIV of 1936 Act No. I of 1937 to Ordinance No. VII of 1941 Bengal Act No. IV of 1942 to E. B. Act No. XXVIII of 1951 Act No. II of 1951 to Act No. XXXVIII of 1957 E.P. Act No. XV of 1957 to Ordinance No. XXXV of 1961 Ordinance No. XLV of 1961 to E. P. Ordinance No. VIII of 1963 E. P. Act No. IX of 1964 to A. P. O. No. 3 of 1971 The Constitution of 1972 to ..."
8,"The Bills of Lading Act, 1856",( ACT NO. IX OF 1856 ),1856,,False,,0,http://bdlaws.minlaw.gov.bd/act-8.html,2025-08-01 10:20:12,"The Bills of Lading Act, 1856 Toggle navigation Home Laws of Bangladesh Chronological Index Alphabetical Index Law Search Related Links Contact Us/Feedback Old Website Help How to Search How to Print Glossary Roman Number Contact Us/Feedback বাংলা |English Regulation V of 1799 to Act No. I of 1872 Chronological Index Regulation V of 1799 to Act No. I of 1872 Act No. III of 1872 to Act No. II of 1882 Act No. IV of 1882 to Act No. III of 1898 Act No. V of 1898 to Act No. II of 1899 Act No. IV of 1899 to Act No. V of 1908 Act No. VI of 1908 to Act No. VI of 1913 Act No. II of 1914 to Act No. XXVI of 1925 Act No. XXXIX of 1925 to Act No. XIV of 1936 Act No. I of 1937 to Ordinance No. VII of 1941 Bengal Act No. IV of 1942 to E. B. Act No. XXVIII of 1951 Act No. II of 1951 to Act No. XXXVIII of 1957 E.P. Act No. XV of 1957 to Ordinance No. XXXV of 1961 Ordinance No. XLV of 1961 to E. P. Ordinance No. VIII of 1963 E. P. Act No. IX of 1964 to A. P. O. No. 3 of 1971 The Constitution of 1972 to ..."
9,"The Hindu Widow's Re-marriage Act, 1856",( ACT NO. XV OF 1856 ),1856,,False,,0,http://bdlaws.minlaw.gov.bd/act-9.html,2025-08-01 10:20:14,"The Hindu Widow's Re-marriage Act, 1856 Toggle navigation Home Laws of Bangladesh Chronological Index Alphabetical Index Law Search Related Links Contact Us/Feedback Old Website Help How to Search How to Print Glossary Roman Number Contact Us/Feedback বাংলা |English Regulation V of 1799 to Act No. I of 1872 Chronological Index Regulation V of 1799 to Act No. I of 1872 Act No. III of 1872 to Act No. II of 1882 Act No. IV of 1882 to Act No. III of 1898 Act No. V of 1898 to Act No. II of 1899 Act No. IV of 1899 to Act No. V of 1908 Act No. VI of 1908 to Act No. VI of 1913 Act No. II of 1914 to Act No. XXVI of 1925 Act No. XXXIX of 1925 to Act No. XIV of 1936 Act No. I of 1937 to Ordinance No. VII of 1941 Bengal Act No. IV of 1942 to E. B. Act No. XXVIII of 1951 Act No. II of 1951 to Act No. XXXVIII of 1957 E.P. Act No. XV of 1957 to Ordinance No. XXXV of 1961 Ordinance No. XLV of 1961 to E. P. Ordinance No. VIII of 1963 E. P. Act No. IX of 1964 to A. P. O. No. 3 of 1971 The Constitution o..."
10,"The Societies Registration Act, 1860",( ACT NO. XXI OF 1860 ),1860,,False,,0,http://bdlaws.minlaw.gov.bd/act-10.html,2025-08-01 10:20:16,"The Societies Registration Act, 1860 Toggle navigation Home Laws of Bangladesh Chronological Index Alphabetical Index Law Search Related Links Contact Us/Feedback Old Website Help How to Search How to Print Glossary Roman Number Contact Us/Feedback বাংলা |English Regulation V of 1799 to Act No. I of 1872 Chronological Index Regulation V of 1799 to Act No. I of 1872 Act No. III of 1872 to Act No. II of 1882 Act No. IV of 1882 to Act No. III of 1898 Act No. V of 1898 to Act No. II of 1899 Act No. IV of 1899 to Act No. V of 1908 Act No. VI of 1908 to Act No. VI of 1913 Act No. II of 1914 to Act No. XXVI of 1925 Act No. XXXIX of 1925 to Act No. XIV of 1936 Act No. I of 1937 to Ordinance No. VII of 1941 Bengal Act No. IV of 1942 to E. B. Act No. XXVIII of 1951 Act No. II of 1951 to Act No. XXXVIII of 1957 E.P. Act No. XV of 1957 to Ordinance No. XXXV of 1961 Ordinance No. XLV of 1961 to E. P. Ordinance No. VIII of 1963 E. P. Act No. IX of 1964 to A. P. O. No. 3 of 1971 The Constitution of 1..."
